time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837055.69976592,0.14290863,0.00556645,0.00001835,80676.00000000,0.13237794,0.000000,0.000000
1577837055.79961300,0.14289690,0.00593436,0.00001812,80737.00000000,0.13397998,0.000000,0.000000
1577837055.89945197,0.14285316,0.00500074,0.00001625,80771.00000000,0.10957171,0.000000,0.000000
1577837055.99930286,0.14280230,0.00522474,0.00001643,80876.00000000,0.10404306,0.000000,0.000000
1577837056.09994292,0.14273608,0.00493744,0.00001583,80903.00000000,0.09221663,0.000000,0.000000
1577837056.19979000,0.14267880,0.00436712,0.00001656,80951.00000000,0.09891522,0.000000,0.000000
1577837056.29962802,0.14261767,0.00531935,0.00001684,81013.00000000,0.09585273,0.000000,0.000000
1577837056.39947295,0.14258014,0.00593879,0.00002062,81043.00000000,0.11383188,0.000000,0.000000
1577837056.49931002,0.14250626,0.00419133,0.00001595,81053.00000000,0.08583751,0.000000,0.000000
1577837056.59994006,0.14242695,0.00390202,0.00001599,80989.00000000,0.08152207,0.000000,0.000000
1577837056.69979286,0.14233848,0.00319910,0.00001650,80983.00000000,0.07430014,0.000000,0.000000
1577837056.79963493,0.14224689,0.00376612,0.00001637,81016.00000000,0.07172616,0.000000,0.000000
1577837056.89947796,0.14217016,0.00463995,0.00001826,80951.00000000,0.08301072,0.000000,0.000000
1577837056.99931502,0.14209763,0.00311520,0.00001711,80895.00000000,0.08610472,0.000000,0.000000
1577837057.09997010,0.14201864,0.00338441,0.00001656,80934.00000000,0.08095755,0.000000,0.000000
1577837057.19981313,0.14194025,0.00355241,0.00001592,80970.00000000,0.08126326,0.000000,0.000000
1577837057.29965210,0.14187076,0.00372312,0.00001742,80899.00000000,0.08801588,0.000000,0.000000
1577837057.39948702,0.14181359,0.00394113,0.00001919,80956.00000000,0.09745368,0.000000,0.000000
1577837057.49932909,0.14174109,0.00432625,0.00001796,80962.00000000,0.08541164,0.000000,0.000000
1577837057.59997892,0.14166625,0.00347342,0.00001655,80971.00000000,0.08343547,0.000000,0.000000
1577837057.69981694,0.14159755,0.00443026,0.00001622,80989.00000000,0.08807973,0.000000,0.000000
1577837057.79964995,0.14153750,0.00558060,0.00001690,81002.00000000,0.09470167,0.000000,0.000000
1577837057.89949489,0.14147979,0.00391694,0.00001774,81028.00000000,0.09641013,0.000000,0.000000
